Field,My requirement,Candidate A,Candidate B,Candidate C,Official source URL / as-of date / notes
Investment purpose,,,,,
Spending date / holding period,,,,,
Spending currency,,,,,
Cash needed / reinvestment plan,,,,,
ETF name / ticker,,,,,
Listing market / settlement currency,,,,,
Exact benchmark / calculation currency,,,,,
Price or total return / gross or net basis,,,,,
Implementation / options or leverage,,,,,
Major asset currencies,,,,,
Hedge target / target and actual ratio,,,,,
Annual fee / effective date,,,,,
Other and transaction expenses / period,,,,,
NAV total return / period,,,,,
Benchmark total return / matching period,,,,,
Tracking difference / calculation basis,,,,,
Bid and ask / timestamp / quantity,,,,,
Brokerage and FX conversion costs,,,,,
Distributions / rate calculation basis,,,,,
Account / purchase eligibility,,,,,
Tax classification / benefit conditions,,,,,
Withdrawal and closure conditions,,,,,
Overlap with existing holdings / date,,,,,
Official source URLs / access date,,,,,
Buy / defer / exclude and reason,,,,,
Review date / triggers,,,,,
