항목,내 기준,후보 A,후보 B,후보 C,공식 출처 URL / 기준일 / 메모
투자 목적,,,,,
사용 예정일 / 보유기간,,,,,
사용 통화,,,,,
필요한 현금 / 재투자 여부,,,,,
ETF 이름 / 종목코드,,,,,
상장시장 / 거래통화,,,,,
정확한 지수 / 산출 통화,,,,,
가격수익·총수익 / 세전·세후 기준,,,,,
복제 방식 / 옵션·레버리지,,,,,
주요 자산통화,,,,,
헤지 대상 / 목표·실제 비율,,,,,
연간 보수 / 적용일,,,,,
기타비용·거래비용 / 보고기간,,,,,
NAV 총수익률 / 기간,,,,,
비교지수 총수익률 / 같은 기간,,,,,
추적차이 / 계산 기준,,,,,
매수·매도 호가 / 시각 / 수량,,,,,
중개·환전 비용,,,,,
분배금 / 분배율 계산 기준,,,,,
계좌 / 매수 가능 여부,,,,,
세무 분류 / 혜택 적용 조건,,,,,
중도인출·해지 조건,,,,,
기존 보유종목과 겹침 / 기준일,,,,,
공식 자료 URL / 확인일,,,,,
매수·보류·제외 / 이유,,,,,
재검토 날짜 / 변경 조건,,,,,
